https://deb.debian.org/debian/dists/jessie/InRelease:
2022-05-29 21:12:10 ERROR 404: Not Found.
2022-05-29 21:12:10 URL:https://deb.debian.org/debian/dists/jessie/Release [77265/77265] -> "/home/wittmann/Desktop/jessie/var/lib/apt/lists/partial/deb.debian.org_debian_dists_jessie_Release" [1]
2022-05-29 21:12:11 URL:https://deb.debian.org/debian/dists/jessie/main/binary-amd64/Packages.xz [6817508/6817508] -> "/home/wittmann/Desktop/jessie/var/lib/apt/lists/partial/deb.debian.org_debian_dists_jessie_main_binary-amd64_Packages.xz" [1]
2022-05-29 21:12:27 URL:https://deb.debian.org/debian/pool/main/a/acl/acl_2.2.52-2_amd64.deb [58388/58388] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/acl_2.2.52-2_amd64.deb" [1]
2022-05-29 21:12:27 URL:https://deb.debian.org/debian/pool/main/a/acl/libacl1_2.2.52-2_amd64.deb [27938/27938] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libacl1_2.2.52-2_amd64.deb" [1]
2022-05-29 21:12:27 URL:https://deb.debian.org/debian/pool/main/a/adduser/adduser_3.113+nmu3_all.deb [263714/263714] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/adduser_3.113+nmu3_all.deb" [1]
2022-05-29 21:12:28 URL:https://deb.debian.org/debian/pool/main/a/apt/apt_1.0.9.8.4_amd64.deb [1108646/1108646] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/apt_1.0.9.8.4_amd64.deb" [1]
2022-05-29 21:12:28 URL:https://deb.debian.org/debian/pool/main/a/apt/apt-transport-https_1.0.9.8.4_amd64.deb [137908/137908] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/apt-transport-https_1.0.9.8.4_amd64.deb" [1]
2022-05-29 21:12:28 URL:https://deb.debian.org/debian/pool/main/a/apt/apt-utils_1.0.9.8.4_amd64.deb [367950/367950] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/apt-utils_1.0.9.8.4_amd64.deb" [1]
2022-05-29 21:12:28 URL:https://deb.debian.org/debian/pool/main/a/apt/libapt-inst1.5_1.0.9.8.4_amd64.deb [169266/169266] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libapt-inst1.5_1.0.9.8.4_amd64.deb" [1]
2022-05-29 21:12:29 URL:https://deb.debian.org/debian/pool/main/a/apt/libapt-pkg4.12_1.0.9.8.4_amd64.deb [792372/792372] -> "/home/wittmann/Desktop/jessie//var/cache/apt/archives/partial/libapt-pkg4.12_1.0.9.8.4_amd64.deb" [1]
