2022-05-30 01:12:58 startup archives install
2022-05-30 01:12:58 install base-passwd:amd64 <none> 3.5.37
2022-05-30 01:12:58 status half-installed base-passwd:amd64 3.5.37
2022-05-30 01:12:58 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:12:58 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:12:58 configure base-passwd:amd64 3.5.37 3.5.37
2022-05-30 01:12:58 status unpacked base-passwd:amd64 3.5.37
2022-05-30 01:12:58 status half-configured base-passwd:amd64 3.5.37
2022-05-30 01:12:59 status installed base-passwd:amd64 3.5.37
2022-05-30 01:12:59 startup archives install
2022-05-30 01:12:59 install base-files:amd64 <none> 8+deb8u11
2022-05-30 01:12:59 status half-installed base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 configure base-files:amd64 8+deb8u11 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status unpacked base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status half-configured base-files:amd64 8+deb8u11
2022-05-30 01:12:59 status installed base-files:amd64 8+deb8u11
2022-05-30 01:12:59 startup archives install
2022-05-30 01:12:59 upgrade dpkg 1.17.27 1.17.27
2022-05-30 01:12:59 status half-configured dpkg 1.17.27
2022-05-30 01:12:59 status unpacked dpkg 1.17.27
2022-05-30 01:12:59 status half-installed dpkg 1.17.27
2022-05-30 01:13:00 status half-installed dpkg 1.17.27
2022-05-30 01:13:00 status unpacked dpkg 1.17.27
2022-05-30 01:13:00 status unpacked dpkg 1.17.27
2022-05-30 01:13:00 configure dpkg 1.17.27 1.17.27
2022-05-30 01:13:00 status unpacked dpkg 1.17.27
2022-05-30 01:13:00 status unpacked dpkg 1.17.27
